TotalEnvSteps,gae-seed-3,gae-rtg-seed-3,vtrace-seed-3,td-seed-3,mgae-seed-3,mgae-seed-1,vtrace-seed-1,gae-rtg-seed-1,gae-seed-1,td-seed-1,td-seed-0,vtrace-seed-0,gae-rtg-seed-0,gae-seed-0,mgae-seed-0
250,2.411764622,2.411764622,2.411764622,2.411764622,2.411764622,2.5,2.5,2.5,2.5,2.5,2.640000105,2.640000105,2.640000105,2.640000105,2.640000105
500,1.879999995,1.899999976,1.840000033,2.299999952,2.519999981,2.900000095,2.599999905,2.599999905,2.599999905,2.119999886,3.431818247,3.431818247,3.431818247,3.431818247,2.979591846
750,2.319999933,2.339999914,2.400000095,2.619999886,3.059999943,2.579999924,2.25999999,2.359999895,2.24000001,2.420000076,3.079999924,3.75999999,3.059999943,3.059999943,2.680000067
1000,2.140000105,3.220000029,3.119999886,2.940000057,3.200000048,2.880000114,2.220000029,2.380000114,2.299999952,2.74000001,2.619999886,3,2.74000001,2.720000029,2.75999999
1250,3,3.380000114,2.940000057,3.700000048,3.700000048,3.460000038,2.640000105,3.019999981,3.019999981,3.619999886,2.839999914,2.880000114,2.779999971,3.380000114,3.559999943
1500,3.519999981,3.099999905,3.039999962,3.420000076,3.920000076,3.519999981,3.420000076,3.099999905,3.460000038,3.200000048,2.799999952,3.339999914,2.700000048,3.74000001,3.839999914
1750,3.640000105,2.940000057,3.559999943,2.75999999,3.880000114,3.599999905,3.900000095,3.279999971,3.920000076,3.079999924,3.019999981,3.599999905,2.880000114,3.299999952,4.019999981
2000,3.519999981,2.819999933,3.119999886,2.680000067,3.200000048,3.619999886,3.559999943,3.599999905,3.599999905,2.980000019,3.339999914,3.460000038,3.359999895,3.079999924,3.640000105
2250,3.019999981,3.420000076,3.220000029,2.75999999,2.779999971,3.339999914,3.539999962,3.819999933,3.099999905,3.24000001,2.799999952,3.559999943,3.799999952,3.579999924,3.720000029
2500,3.480000019,3.420000076,3.599999905,2.920000076,3.140000105,3.380000114,3.539999962,3.700000048,3.400000095,2.980000019,2.900000095,3.5,3.920000076,4.159999847,4.159999847
2750,3.660000086,3.5,3.940000057,3.059999943,3.440000057,3.839999914,3.400000095,4.059999943,3.359999895,2.819999933,3.279999971,3.700000048,3.819999933,4.119999886,4.480000019
3000,3.599999905,3.519999981,3.200000048,3.140000105,3.940000057,3.940000057,3.779999971,3.74000001,3.420000076,3.140000105,3.680000067,3.480000019,3.839999914,3.779999971,4.820000172
3250,3.460000038,3.75999999,3.079999924,3.180000067,4,4.199999809,4.28000021,3.599999905,3.779999971,3.160000086,3.859999895,3.25999999,4.079999924,3.980000019,3.980000019
3500,3.779999971,4.300000191,3.24000001,3.5,4.119999886,4.559999943,4.599999905,3.920000076,4.199999809,3.339999914,3.5,3.700000048,4.239999771,4.400000095,4.239999771
3750,3.859999895,4.21999979,4.079999924,3.279999971,4.199999809,4.760000229,4.699999809,4.239999771,4.559999943,3.460000038,3.200000048,3.940000057,4.320000172,4.539999962,4.139999866
4000,3.680000067,3.900000095,4.639999866,3.420000076,4.239999771,4.880000114,4.679999828,4.460000038,4.039999962,3.700000048,3.400000095,3.900000095,4.099999905,4.599999905,4.460000038
4250,3.440000057,4.019999981,4.880000114,3.680000067,4.619999886,5.039999962,4.5,4.599999905,4.039999962,3.960000038,3.74000001,4.139999866,4.260000229,4.78000021,5.119999886
4500,3.460000038,4.559999943,4.440000057,3.900000095,4.960000038,4.820000172,4.840000153,4.880000114,4.079999924,3.799999952,3.799999952,4.039999962,4.699999809,4.940000057,4.880000114
4750,3.920000076,4.599999905,3.880000114,3.680000067,5.21999979,4.760000229,4.940000057,4.78000021,4.159999847,3.680000067,3.380000114,3.859999895,4.480000019,4.800000191,4.78000021
