TotalEnvSteps,REINFORCE-seed-3,REINFORCE-seed-1,REINFORCE-seed-0
128,3.200000048,4.199999809,3.099999905
256,4.300000191,4,2
384,3.099999905,2.099999905,2.799999952
512,3.700000048,2.299999952,2.599999905
640,2.700000048,2.200000048,2.799999952
768,3.099999905,4.199999809,3.099999905
896,4.599999905,3.900000095,3.599999905
1024,3.900000095,3.799999952,4.099999905
1152,3.799999952,3.299999952,4
1280,3.099999905,3.299999952,3
1408,4,5.5,3.900000095
1536,2.900000095,2.900000095,2.900000095
1664,4.900000095,5,3.200000048
1792,2.900000095,3.900000095,2.5
1920,4.300000191,4.300000191,4.400000095
2048,3.700000048,2.599999905,5.199999809
2176,2.099999905,5,4.199999809
2304,4.099999905,5.099999905,4.199999809
2432,5.099999905,5.199999809,3.900000095
2560,4.5,5.800000191,5.300000191
2688,5.099999905,4.199999809,3.900000095
2816,5.199999809,4.099999905,4.900000095
2944,5.5,4,3.299999952
3072,5.400000095,3.700000048,3.700000048
3200,5,4.199999809,4.199999809
3328,4.800000191,4.5,4.900000095
3456,6,5,5.5
3584,5.300000191,3.5,6.699999809
3712,5.800000191,3.299999952,5.699999809
3840,4.699999809,4.400000095,4.699999809
3968,5,5.800000191,5.400000095
4096,5.199999809,4,6.099999905
4224,5.800000191,5.199999809,5.900000095
4352,7.099999905,6.199999809,5.599999905
4480,4.699999809,4.800000191,4.800000191
4608,5,5,6.199999809
4736,5.400000095,5,6.900000095
4864,5.099999905,6,6.099999905
4992,4.900000095,8,6.099999905
5120,5.300000191,6.5,5.699999809
5248,5.400000095,5.599999905,4.400000095
5376,5.599999905,5.800000191,6.5
5504,6,5.099999905,7.800000191
5632,6.199999809,5.800000191,8
5760,5.5,5.900000095,6.900000095
5888,5.800000191,6.099999905,6.300000191
6016,5.599999905,5.400000095,5.5
6144,6.099999905,5.199999809,5.699999809
6272,7.199999809,5.5,7
6400,8.100000381,5.599999905,6.400000095
6528,8.800000191,5.800000191,5.599999905
6656,7.099999905,6,5.5
6784,6.300000191,7,7
6912,7.099999905,5.5,4.599999905
7040,7.800000191,6.800000191,5.099999905
7168,6.699999809,5.699999809,7.900000095
7296,5.099999905,5.300000191,8.600000381
7424,5.400000095,5.5,6.599999905
7552,7.199999809,5.300000191,6.300000191
7680,5.400000095,4.900000095,6.5
7808,5.900000095,4.699999809,5.5
7936,5.900000095,6.099999905,4.699999809
8064,5.199999809,6.199999809,5.800000191
8192,5.099999905,7,5.5
8320,5.199999809,4.699999809,6.300000191
8448,5.199999809,5.599999905,7.099999905
8576,7,5.5,6.599999905
8704,6.400000095,6.099999905,6.5
8832,5.199999809,7.300000191,5.699999809
8960,6.199999809,6.900000095,6.400000095
9088,7,5.900000095,6.099999905
9216,6.099999905,6.199999809,6.099999905
9344,5.699999809,6.5,6.400000095
9472,6.400000095,6.199999809,5.400000095
9600,6.699999809,6.599999905,5.199999809
9728,7,6.199999809,5.300000191
9856,7.199999809,8.300000191,6.199999809
9984,6.900000095,8.399999619,6.300000191
10112,6.5,8.100000381,7.300000191
10240,5.599999905,7.900000095,8.399999619
10368,5.800000191,5.900000095,6.5
10496,7.400000095,6.599999905,7.599999905
10624,7.800000191,6.599999905,9.100000381
10752,6.5,6.599999905,8.399999619
10880,6.800000191,6.300000191,7.5
11008,7.099999905,6.5,6.199999809
11136,7.199999809,5.400000095,6.400000095
11264,6.800000191,5.099999905,6.800000191
11392,5.800000191,6.900000095,7.5
11520,5.300000191,5.300000191,5.699999809
11648,6.599999905,5.699999809,7.199999809
11776,6.800000191,7,8.100000381
11904,6.800000191,5.599999905,6.300000191
12032,6.900000095,7.400000095,7.199999809
12160,6.400000095,7.699999809,9.300000191
12288,7,7.300000191,9.600000381
12416,7,6.699999809,7.400000095
12544,6.5,7.099999905,7.199999809
12672,6.300000191,6.900000095,6.800000191
12800,6.099999905,5.800000191,6.199999809
12928,6.199999809,6.900000095,5.800000191
13056,6.400000095,7.400000095,8.399999619
13184,7.900000095,6.5,7.199999809
13312,7.900000095,6.400000095,6.199999809
13440,6.699999809,6.099999905,5.199999809
13568,7.599999905,5.900000095,6.800000191
13696,7.800000191,6.199999809,8
13824,7.099999905,8.300000191,8.699999809
13952,6.800000191,8.5,7.099999905
14080,6.599999905,7,7.099999905
14208,6.900000095,7.300000191,7.400000095
14336,6.300000191,7.199999809,6.800000191
14464,6.199999809,7.300000191,6.800000191
14592,6.900000095,8,8.800000191
14720,8.100000381,7.900000095,9.100000381
14848,9.300000191,7.800000191,9.100000381
14976,8.899999619,7.900000095,9
15104,7.400000095,7.300000191,9.199999809
15232,7.800000191,6.099999905,9.300000191
15360,6.599999905,6.900000095,8.100000381
15488,7.099999905,8.399999619,7.199999809
15616,8.600000381,6.800000191,7.599999905
15744,7.800000191,6.099999905,8.100000381
15872,6.099999905,6.099999905,6.699999809
16000,5.800000191,6.400000095,7.599999905
16128,5.900000095,5.900000095,8.699999809
16256,5.5,5.900000095,7.900000095
16384,6.900000095,5.699999809,8
16512,7.300000191,6.300000191,8.100000381
16640,6.5,7.599999905,9.5
16768,6.699999809,7.599999905,8.5
16896,7.099999905,6.699999809,6.5
17024,7.699999809,7.099999905,6.099999905
17152,9.199999809,6.5,7.099999905
17280,7.599999905,5.300000191,7.199999809
17408,5.599999905,6.800000191,7.900000095
17536,6.300000191,8.5,8.100000381
17664,8.5,7.300000191,7.699999809
17792,8.5,6.699999809,7.400000095
17920,6.400000095,7.099999905,8.399999619
18048,6.900000095,7,8
18176,7.599999905,6.900000095,5.900000095
18304,6.400000095,7.199999809,7
18432,8.199999809,6.5,7.199999809
18560,8.699999809,7.099999905,7.599999905
18688,8.199999809,7.5,7.699999809
18816,7.599999905,6.800000191,6.599999905
18944,7.400000095,6.199999809,6.300000191
19072,7.199999809,6.900000095,5.800000191
19200,7.599999905,7.5,6.599999905
19328,6.099999905,8.699999809,7.099999905
19456,6.599999905,7.900000095,8.600000381
19584,7,6.599999905,9.600000381
19712,7.400000095,7.599999905,8.100000381
19840,8.5,8.600000381,6.599999905
19968,8.5,8.100000381,7.199999809
20096,8,7.5,7.599999905
20224,8,8,7.400000095
20352,8.899999619,7.599999905,6.900000095
20480,7.699999809,7.400000095,6.599999905
20608,6.400000095,7.800000191,6.5
20736,6.800000191,7,6.699999809
20864,7.599999905,6.099999905,7.400000095
20992,7.599999905,6.400000095,8.899999619
21120,8.100000381,7.699999809,8.100000381
21248,8.300000191,8.399999619,7.599999905
21376,7.699999809,8.600000381,7.599999905
21504,7.099999905,7.5,6.800000191
21632,7.199999809,8.199999809,7.699999809
21760,8.199999809,8.5,8.300000191
21888,9.199999809,7.599999905,8.300000191
22016,9.600000381,7.199999809,9.800000191
22144,8.399999619,7.199999809,9.399999619
22272,9.199999809,6.5,7.699999809
22400,8.5,6.599999905,7.400000095
22528,8.100000381,7.599999905,7
22656,9.199999809,7.900000095,8.100000381
22784,8.300000191,8.5,8.899999619
22912,9.600000381,8.699999809,7.800000191
23040,8,7.199999809,9.399999619
23168,7.199999809,6.199999809,8.600000381
23296,8,7.800000191,7.400000095
23424,8.5,8.899999619,7.5
23552,7.699999809,9.100000381,6
23680,6.5,7.300000191,5.699999809
23808,6.900000095,6.800000191,6.699999809
23936,8.899999619,7.699999809,7.300000191
24064,10.30000019,7.900000095,7.199999809
24192,9.199999809,7.699999809,7
24320,9.100000381,8.800000191,7.300000191
24448,7.900000095,7.900000095,8.100000381
24576,6.900000095,7.199999809,7.800000191
24704,7.900000095,7.599999905,8.899999619
24832,8.699999809,6.800000191,9.399999619
24960,7.400000095,7.300000191,6.599999905
25088,7.099999905,6.400000095,7
25216,7.599999905,6.599999905,8
25344,9.199999809,8.600000381,8.300000191
25472,9.5,7.900000095,8.800000191
25600,7.300000191,7.800000191,8.199999809
25728,8.899999619,7.900000095,8.5
25856,9.699999809,7.599999905,9.399999619
25984,7.5,7.900000095,8.100000381
26112,8.300000191,7.800000191,7.599999905
26240,6.5,7,8
26368,7.199999809,6.699999809,9.899999619
26496,9.899999619,7.400000095,9.899999619
26624,8.899999619,8.600000381,9
26752,7.400000095,7.800000191,7.199999809
26880,8.5,7.400000095,7.5
27008,10.5,7.099999905,5.900000095
27136,9.600000381,8.100000381,6.900000095
27264,6.800000191,8.399999619,6.900000095
27392,8.100000381,7,7.199999809
27520,7.900000095,6.599999905,8.600000381
27648,8.399999619,7.199999809,7.900000095
27776,7.900000095,6.800000191,7.699999809
27904,7.400000095,7.400000095,8.100000381
28032,8.5,8.800000191,9
28160,9.5,8.699999809,10.39999962
28288,9.100000381,8.899999619,8.300000191
28416,8.600000381,9.100000381,8.600000381
28544,8.600000381,8.899999619,11.19999981
28672,8.5,6.900000095,9.399999619
28800,9.399999619,6.900000095,8.600000381
28928,8.699999809,7.400000095,8.800000191
29056,7.699999809,7.900000095,9.300000191
29184,7.900000095,7.900000095,9.300000191
29312,7.599999905,8.600000381,8.600000381
29440,7.400000095,7.400000095,6.400000095
29568,6.800000191,7.300000191,6.5
29696,7.900000095,7.800000191,8.699999809
29824,7.800000191,9.399999619,8.300000191
29952,8.300000191,9.100000381,8.300000191
30080,7.5,10.10000038,8.5
30208,8.300000191,10.30000019,9.899999619
30336,9.800000191,9.199999809,9.699999809
30464,11,9.399999619,9.5
30592,9.199999809,9,8.199999809
30720,7.800000191,7.199999809,7.900000095
30848,9.399999619,7.300000191,7
30976,8.800000191,8.300000191,7.300000191
31104,9.699999809,8.800000191,8.199999809
31232,9.300000191,8,9.199999809
31360,10.10000038,8.399999619,8.399999619
31488,10,9.5,8.5
31616,9.699999809,9.100000381,9.399999619
31744,9.399999619,8.699999809,9.199999809
31872,8.600000381,8.600000381,9.5
32000,8.800000191,7.900000095,10
32128,9.699999809,8.699999809,10.10000038
32256,9.699999809,9.300000191,8.399999619
32384,7.199999809,8.600000381,7.5
32512,6.699999809,8.600000381,9
32640,8.199999809,8.300000191,8.5
32768,8.899999619,8.699999809,7.900000095
32896,7.800000191,9.300000191,8.600000381
33024,8.600000381,8.399999619,7.900000095
33152,9.399999619,9.300000191,6.800000191
33280,8.399999619,9.899999619,7.199999809
33408,7.599999905,9.5,7
33536,7.699999809,8.600000381,7.699999809
33664,8.100000381,9.399999619,9
33792,8.699999809,8.800000191,9.399999619
33920,8.300000191,8.600000381,8.699999809
34048,7.699999809,7.199999809,8.300000191
34176,8.300000191,7.599999905,9.5
34304,9.899999619,8.600000381,9.699999809
34432,10.19999981,9.300000191,7.800000191
34560,9.199999809,8.699999809,8.300000191
34688,8.100000381,10,8.699999809
34816,8.5,9.899999619,8.5
34944,9.899999619,9,8.699999809
35072,9.899999619,9.100000381,7.300000191
35200,9.800000191,8.300000191,7.599999905
35328,9.899999619,9.399999619,8.899999619
35456,8.5,9,8.600000381
35584,6.599999905,8.600000381,7.199999809
35712,9.100000381,8.600000381,8
35840,8.899999619,7.599999905,9.199999809
35968,8.399999619,8.100000381,10.60000038
36096,7.699999809,10,9.800000191
36224,9.199999809,9.699999809,7.699999809
36352,9.600000381,8.899999619,8
36480,7.900000095,8.300000191,7.5
36608,8.699999809,8.699999809,8.199999809
36736,8.5,9.399999619,8.399999619
36864,8.199999809,8.899999619,9
36992,7.599999905,8.600000381,7.900000095
37120,9.399999619,8,7.699999809
37248,10.30000019,9,9.800000191
37376,8.800000191,9.399999619,10
37504,10.10000038,9,8.300000191
37632,9.600000381,7.400000095,7.5
37760,7,7.400000095,9.600000381
37888,7.400000095,9.399999619,10.69999981
38016,8.5,9.399999619,12.10000038
38144,8.399999619,7.699999809,10.5
38272,9.5,8.199999809,9.199999809
38400,11.5,9.600000381,9.100000381
38528,7.5,10.19999981,8.300000191
38656,7,11.10000038,8.899999619
38784,9.699999809,11,10.60000038
38912,9.199999809,8.199999809,10.10000038
39040,10.10000038,7.599999905,9.600000381
39168,11.60000038,10.39999962,9.199999809
39296,9.800000191,10.30000019,9.699999809
39424,7.699999809,8.600000381,10
39552,7.900000095,9.100000381,10.69999981
39680,8.300000191,9.899999619,11.69999981
39808,9.899999619,11.10000038,12.60000038
39936,9.800000191,9.600000381,8.899999619
40064,10.89999962,8.899999619,9.399999619
40192,11.10000038,9.399999619,10
40320,11.39999962,9.600000381,10.19999981
40448,11,9.300000191,11
40576,9.5,8.300000191,9.300000191
40704,11.10000038,9.199999809,10.39999962
40832,10,11.10000038,12.60000038
40960,8.600000381,10.89999962,10.60000038
41088,9.100000381,9.899999619,8.899999619
41216,8.600000381,8.800000191,9.699999809
41344,7.699999809,8.5,10.10000038
41472,7.5,8.800000191,9.5
41600,7.5,8.399999619,11.69999981
41728,7.5,8.100000381,12.89999962
41856,8.300000191,9.199999809,9.5
41984,8.699999809,9.300000191,10.30000019
42112,9.800000191,9.5,12.39999962
42240,10.5,10.19999981,11.10000038
42368,9.199999809,9.899999619,11.30000019
42496,8.800000191,8.399999619,12.5
42624,8.199999809,7,11.60000038
42752,9.199999809,7.900000095,11.5
42880,7.199999809,8.600000381,11.60000038
43008,8.800000191,8.399999619,11.10000038
43136,9.5,8.699999809,9.699999809
43264,8.300000191,8.600000381,10.39999962
43392,9.100000381,9,9.600000381
43520,6.900000095,8.600000381,10.19999981
43648,7.400000095,8.899999619,10.60000038
43776,10.10000038,9.399999619,10.39999962
43904,11.19999981,9.899999619,9.600000381
44032,11.19999981,9.800000191,10.19999981
44160,9.699999809,9.899999619,11.5
44288,9.399999619,9.800000191,12.30000019
44416,9.300000191,8.199999809,14.10000038
44544,11.60000038,8.800000191,14.10000038
44672,11.60000038,8.100000381,13.80000019
44800,10.10000038,8.5,12.5
44928,9.699999809,8.699999809,11.39999962
45056,10.30000019,9.699999809,11.5
45184,10,9.5,11.19999981
45312,9.600000381,8.399999619,12.10000038
45440,9.399999619,8,11
45568,12.30000019,8.5,10.5
45696,13.39999962,11.10000038,12.39999962
45824,11.19999981,11.10000038,11.60000038
45952,10.89999962,9.5,11.89999962
46080,10.89999962,9.300000191,11.69999981
46208,8.899999619,8.600000381,10.10000038
46336,6.900000095,8.699999809,11
46464,8.300000191,9.899999619,11.69999981
46592,7.400000095,8.699999809,11.5
46720,7.400000095,7.800000191,9.800000191
46848,8.5,8.600000381,9.100000381
46976,8.300000191,10,9.899999619
47104,8.899999619,10.60000038,10.39999962
47232,10.60000038,11.39999962,10.10000038
47360,9.300000191,10.69999981,10.80000019
47488,8.600000381,10.39999962,11.30000019
47616,8.699999809,10.69999981,12.69999981
47744,9.399999619,9.800000191,11.80000019
47872,10.30000019,8.5,12.19999981
48000,11.19999981,9.399999619,14
48128,12,9.300000191,13.5
48256,11.10000038,8.100000381,11.10000038
48384,8.399999619,8.5,8.800000191
48512,8.5,8.600000381,10.10000038
48640,9.699999809,7.800000191,12.69999981
48768,8.600000381,8.600000381,12.89999962
48896,7,10.19999981,14.30000019
49024,7.199999809,8.600000381,13.89999962
49152,8.899999619,9.399999619,10.89999962
49280,9.899999619,9,11.30000019
49408,10.39999962,10.10000038,12.69999981
49536,10.89999962,10.30000019,11.39999962
49664,11,11.10000038,10.60000038
49792,8.100000381,12.19999981,10.80000019
49920,7.400000095,11.80000019,12.10000038
50048,8.699999809,9.800000191,13.30000019
50176,10.5,8.600000381,12.5
50304,10.89999962,8.300000191,11.39999962
50432,10.80000019,8.5,11.19999981
50560,10.30000019,8.699999809,11
50688,11.80000019,8.199999809,11.89999962
50816,10.80000019,7.400000095,12.80000019
50944,10.89999962,10.30000019,11.69999981
51072,10,9.100000381,12.39999962
51200,9,9,12.69999981
51328,10,10.89999962,12.39999962
51456,9.800000191,10.60000038,11.5
51584,9.600000381,8.399999619,11.30000019
51712,10.39999962,9,11.5
51840,9.199999809,10.10000038,11.69999981
51968,10.39999962,10.5,11.69999981
52096,10.89999962,11.69999981,13.30000019
52224,10.80000019,10.30000019,14
52352,11.5,9,14.80000019
52480,10.10000038,8,13.5
52608,8.199999809,9.800000191,13.30000019
52736,9,9.800000191,13.60000038
52864,10,9.899999619,13.39999962
52992,8.600000381,10.89999962,13.5
53120,7.300000191,9.899999619,13
53248,8.5,10.69999981,11.30000019
53376,9.5,11.30000019,14.10000038
53504,10.10000038,9.5,14.39999962
53632,8.699999809,8.5,13.60000038
53760,9.199999809,8.600000381,12.10000038
53888,9,9.199999809,13.80000019
54016,9.199999809,8.699999809,14.10000038
54144,10.39999962,10.19999981,14.30000019
54272,9.300000191,9.5,12.5
54400,9.399999619,9.699999809,13.69999981
54528,9.300000191,9.399999619,13.30000019
54656,10.30000019,9.300000191,13.30000019
54784,12.10000038,9.699999809,14.69999981
54912,11.89999962,10.10000038,12.30000019
55040,11.89999962,9.199999809,12.5
