Episodic Rewards,Episodic Costs,Episode Lengths
7.0,3.0000000596046448,12.0
5.0,9.90000033378601,32.0
6.0,3.3000000715255737,8.0
1.0,1.300000011920929,3.0
1.0,1.5,2.0
4.0,1.300000011920929,6.0
8.0,1.9000000208616257,7.0
0.0,1.0,1.0
5.0,1.8000000193715096,6.0
1.0,1.400000013411045,3.0
8.0,2.1000000163912773,8.0
6.0,1.300000011920929,8.0
2.0,2.100000023841858,4.0
1.0,1.300000011920929,2.0
2.0,1.300000011920929,4.0
5.0,1.8000000193715096,6.0
2.0,2.300000011920929,4.0
3.0,1.400000013411045,4.0
5.0,3.0000000596046448,7.0
4.0,1.300000011920929,6.0
1.0,1.2000000029802322,3.0
0.0,1.0,1.0
1.0,1.300000011920929,3.0
0.0,1.0,1.0
2.0,1.7000000178813934,3.0
3.0,1.300000011920929,5.0
0.0,1.0,1.0
8.0,1.9000000208616257,8.0
1.0,1.2000000029802322,2.0
1.0,1.800000011920929,3.0
