Episodic Rewards,Episodic Costs,Episode Lengths
20.0,0.9000000134110451,17.0
16.0,1.900000013411045,16.0
9.0,1.2000000029802322,9.0
20.0,2.0000000596046448,22.0
20.0,0.7000000104308128,18.0
9.0,1.2000000029802322,10.0
20.0,2.70000009983778,21.0
20.0,0.9000000208616257,18.0
20.0,1.0000000149011612,22.0
20.0,1.700000025331974,21.0
20.0,2.1000000685453415,22.0
20.0,1.1000000163912773,18.0
20.0,1.2000000402331352,19.0
20.0,0.9000000134110451,17.0
20.0,0.20000000298023224,20.0
20.0,0.8000000193715096,19.0
20.0,2.40000007301569,19.0
20.0,2.400000087916851,23.0
20.0,0.6000000089406967,19.0
20.0,0.9000000134110451,18.0
20.0,2.9000000655651093,20.0
20.0,0.6000000163912773,19.0
3.0,0.0,32.0
20.0,1.600000038743019,19.0
11.0,2.500000052154064,12.0
20.0,2.4000000804662704,19.0
20.0,0.9000000134110451,17.0
20.0,1.8000000342726707,23.0
20.0,1.500000037252903,20.0
20.0,0.4000000059604645,19.0
