Episodic Rewards,Episodic Costs,Episode Lengths
4.0,6.100000090897083,32.0
3.0,9.100000359117985,32.0
1.0,9.600000381469727,32.0
1.0,0.0,32.0
3.0,3.200000047683716,32.0
1.0,16.0,32.0
1.0,0.0,32.0
1.0,12.800000190734863,32.0
1.0,0.0,32.0
1.0,9.600000381469727,32.0
1.0,9.600000381469727,32.0
3.0,3.200000047683716,32.0
5.0,7.600000225007534,32.0
1.0,16.0,32.0
1.0,16.0,32.0
1.0,9.600000381469727,32.0
1.0,0.0,32.0
1.0,7.900000244379044,32.0
1.0,6.400000095367432,32.0
1.0,9.600000381469727,32.0
1.0,3.200000047683716,32.0
1.0,0.0,32.0
1.0,6.400000095367432,32.0
1.0,0.0,32.0
1.0,12.800000190734863,32.0
1.0,0.0,32.0
1.0,0.0,32.0
1.0,0.0,32.0
1.0,0.0,32.0
3.0,1.0000000149011612,32.0
