Episodic Rewards,Episodic Costs,Episode Lengths
11.0,7.300000250339508,32.0
6.0,10.20000034570694,32.0
1.0,16.0,32.0
4.0,11.800000250339508,32.0
6.0,1.6000000089406967,8.0
0.0,1.0,1.0
1.0,1.5,2.0
1.0,1.5,2.0
0.0,1.0,1.0
1.0,1.800000011920929,3.0
2.0,2.100000023841858,4.0
0.0,1.0,1.0
5.0,1.8000000193715096,6.0
4.0,1.300000011920929,6.0
1.0,1.300000011920929,2.0
6.0,1.300000011920929,8.0
1.0,1.1000000014901161,2.0
0.0,1.0,1.0
5.0,2.1000000312924385,6.0
1.0,1.300000011920929,2.0
1.0,1.300000011920929,2.0
2.0,1.300000011920929,4.0
0.0,1.0,1.0
3.0,1.300000011920929,5.0
4.0,1.800000011920929,5.0
2.0,1.300000011920929,4.0
1.0,1.800000011920929,3.0
0.0,1.0,1.0
1.0,1.4000000059604645,2.0
0.0,1.0,1.0
