Episodic Rewards,Episodic Costs,Episode Lengths
6.0,0.30000000447034836,32.0
1.0,16.0,32.0
6.0,8.700000338256359,32.0
1.0,0.0,32.0
1.0,9.600000381469727,32.0
1.0,0.0,32.0
1.0,9.600000381469727,32.0
1.0,9.600000381469727,32.0
1.0,6.400000095367432,32.0
3.0,6.400000095367432,32.0
1.0,0.0,32.0
1.0,0.0,32.0
1.0,3.200000047683716,32.0
1.0,0.0,32.0
3.0,3.200000047683716,32.0
1.0,9.600000381469727,32.0
1.0,19.200000762939453,32.0
1.0,3.200000047683716,32.0
3.0,6.400000095367432,32.0
1.0,6.400000095367432,32.0
3.0,3.200000047683716,32.0
1.0,0.0,32.0
1.0,0.0,32.0
1.0,9.600000381469727,32.0
3.0,3.200000047683716,32.0
1.0,0.0,32.0
1.0,9.600000381469727,32.0
1.0,9.600000381469727,32.0
1.0,9.600000381469727,32.0
1.0,0.0,32.0
