Episodic Rewards,Episodic Costs,Episode Lengths
22.35576963,1,53
2.884615436,1,45
0.721153859,1,12
28.84615436,0.200000003,254
4.326923154,1,11
10.09615403,1,58
1.442307718,0.200000003,6
17.30769262,1,76
0.721153859,1,3
2.884615436,0.200000003,50
0,0.200000003,51
7.21153859,1,53
5.048077013,0.200000003,63
1.442307718,0.200000003,89
4.326923154,0.200000003,68
17.30769262,1,55
5.048077013,1,15
15.14423104,0.200000003,90
2.884615436,1,28
0,1,4
3.605769295,0.200000003,60
0.721153859,1,7
0.721153859,1,61
5.048077013,0.200000003,22
8.653846309,0.200000003,28
0.721153859,1,15
6.490384731,0.200000003,97
2.163461577,1,50
3.605769295,1,9
2.163461577,0.200000003,61
