Episodic Rewards,Episodic Costs,Episode Lengths
49.99999836,0.200000003,80
2.777777687,0.200000003,54
0,0.200000003,51
6.944444217,1,9
5.555555373,0.200000003,58
5.555555373,1,28
51.3888872,0.200000003,122
1.388888843,0.200000003,76
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
1.388888843,0.200000003,96
1.388888843,0.200000003,52
36.11110993,0.200000003,203
0,0.200000003,51
0,0.200000003,51
1.388888843,0.200000003,52
1.388888843,0.200000003,52
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
1.388888843,0.200000003,53
0,0.200000003,51
2.777777687,0.200000003,54
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
