Episodic Rewards,Episodic Costs,Episode Lengths
0.721153859,0.200000003,53
46.15384692,1,66
36.05769295,1,53
82.21153993,1,130
0.721153859,1,2
34.61538523,1,58
7.21153859,1,13
28.1250005,1,45
4.326923154,0.200000003,24
17.30769262,1,28
0,1,4
19.47115419,1,38
16.58653876,1,28
5.769230872,1,13
37.50000061,1,51
26.68269273,1,35
8.653846309,1,20
37.50000067,1,50
0.721153859,1,3
0,1,1
26.68269273,1,35
2.884615436,0.200000003,14
22.35576963,0.200000003,29
2.163461577,0.200000003,11
2.884615436,1,11
0,1,2
25.24038507,1,40
0.721153859,1,6
4.326923154,0.200000003,8
10.81730789,0.200000003,35
