Episodic Rewards,Episodic Costs,Episode Lengths
0.721153859,1,14
0,1,12
0,1,9
2.884615436,1,13
1.442307718,1,15
0.721153859,1,5
2.163461577,0.200000003,62
0.721153859,0.200000003,59
0,1,5
24.51923115,1,51
0.721153859,1,20
0.721153859,1,8
0.721153859,0.200000003,52
1.442307718,0.200000003,68
0,1,21
1.442307718,0.200000003,69
0,1,10
6.490384731,1,24
0.721153859,1,6
0,1,2
2.163461577,0.200000003,71
0.721153859,1,12
5.769230872,1,15
2.884615436,1,38
117.548077,0.200000003,103
1.442307718,0.200000003,63
0.721153859,0.200000003,65
0,1,7
0,1,20
0.721153859,0.200000003,52
