TotalEnvSteps,td-seed-1,vtrace-seed-1,gae-rtg-seed-1,gae-seed-1,gae-seed-0,gae-rtg-seed-0,vtrace-seed-0,td-seed-0,td-seed-4,vtrace-seed-4,gae-rtg-seed-4,gae-seed-4,mgae-seed-4,mgae-seed-1,mgae-seed-0,REINFORCE-seed-4,REINFORCE-seed-1,REINFORCE-seed-0
500,3.97920147,3.97920147,3.97920147,3.97920147,5.31015024,5.31015024,5.31015024,5.31015024,3.43803069,3.43803069,3.43803069,3.43803069,3.43803069,3.97920147,5.31015024,3,4.199999809,3.700000048
1000,4.57894698,4.75657851,4.59868401,4.63815765,4.8947364,4.87499982,4.6381572,4.81578873,3.41447352,3.5526312,3.5526312,3.5921046,3.05921025,4.67763126,4.75657851,3.400000095,3.900000095,4.900000095
1500,4.85526279,3.88815747,4.18420986,3.43421034,3.96710514,3.96710514,4.46052612,4.06578897,3.9868422,3.9078945,4.32236775,4.79605257,3.43421034,5.09210541,3.92763108,2.799999952,4.599999905,4.199999809
2000,3.98684175,2.78289468,3.92763108,3.35526288,4.10526306,4.46052612,3.9078945,4.49999973,4.53947334,4.46052612,4.44078906,5.68421022,3.71052639,3.78947361,4.00657878,4.699999809,4.400000095,5.099999905
2500,3.03947343,2.15131581,4.04605239,2.74342128,3.92763153,4.12500009,5.23026288,3.86842086,3.9868422,3.98684175,3.15789432,5.03289477,2.76315765,3.17763111,4.34210478,3.700000048,5.199999809,8
3000,2.6842104,3.27631563,3.13815729,3.84868428,3.51315738,3.80921067,4.93421049,3.5921046,3.07894728,3.76973658,3.33552651,3.96710514,3.27631542,2.86184169,3.73026297,3.799999952,8.600000381,2
3500,2.54605272,3.86842041,3.31578948,4.02631581,4.28289459,4.46052612,3.74999934,4.4802627,3.53289417,3.27631563,3.82894725,3.41447331,2.96052597,3.23684178,4.10526306,5.099999905,4,5
4000,2.88157851,3.01973685,2.82236829,3.41447331,4.26315756,4.8947364,3.80921022,4.34210478,3.15789477,3.6315789,3.80921022,3.69078912,3.05921049,3.61184211,3.84868428,8.699999809,4.599999905,7.400000095
4500,3.61184211,3.31578948,3.5526312,3.9078945,3.57236826,3.86842086,3.65131527,3.80921022,3.43421034,3.71052639,3.9078945,3.94736856,3.57236847,3.9078945,4.1644737,6.800000191,5.800000191,6.599999905
5000,3.11842113,3.51315759,4.00657833,4.32236865,3.69078912,3.45394716,3.69078912,3.59210529,2.78289468,3.53289462,3.73026297,4.06578942,4.65789423,4.02631581,3.25657881,4.099999905,2.900000095,5.699999809
5500,3.92763108,4.2434205,3.96710514,4.22368392,3.92763153,3.84868383,3.9078945,4.61842059,4.16447328,4.28289459,4.18421031,4.00657878,5.74342041,3.92763108,3.49342077,7,3.200000048,3
6000,4.36184184,4.51973631,4.02631536,3.71052615,4.87499937,4.51973631,4.75657896,5.03289432,4.87499937,5.13157905,5.15131518,3.69078933,5.40789396,5.09210451,4.02631536,3.700000048,4.599999905,4.5
6500,3.49342077,4.00657878,3.86842086,3.61184187,5.07236838,3.94736811,4.65789423,4.69736829,2.4473682,3.76973658,3.15789432,3.9078945,3.25657881,4.81578873,4.30263162,5.400000095,6.300000191,8.699999809
